"text";"mark";"id"
"скисание молока в теплой комнате. является химическим явлением, т.к. образуется новое вещество. ";"2";"5425095"
"Из представленных явлений химическим является ""Скисание молока в темной комнате"". Это явление связано с образованием новых веществ. Остальные явления физические, так как не связаны с образованием/преобразованием химических веществ.";"2";"5425096"
"Появление радуги после дождя";"0";"5425097"
"Ответ номер 3 (скисание молока в теплой комнате ). Движени автомобиля является физическим явлением,излучение света,тоже.Появление радуги после дождя это также физическое явлениие.остается только один вариант ответа-""Скисание молока в теплой комнате""";"1";"5425098"
"излучение света раскаленным металом";"0";"5425099"
"СКИСАНИЕ МОЛОКА В ТЕПЛОЙ КОМНАТЕ";"1";"5425100"
"скисание молока в тёплой комнате";"1";"5425101"
"скисание молока, происходит химическое явление потому что молоко превращается из обычной жидкости в массу что то похоже на творог";"1";"5425102"
"Ответ: скисание молока в теплой комнате.Т.к скисания молока это химическая реакция , значит и является химическим явлением.";"1";"5425103"
"--- нет ответа ---";"-1";"5425104"
"Скисание молока это химческое явление, так как происходит окисление и нагревание молока до комнатной температуры . В итоге оно портится и скисает.";"2";"5425105"
"скисание молока,потому что меняется состав молока,появляются другие молекулы и т.д.";"2";"5425106"
"Ответ:скисание молока, так как при скисании молока появляется запах и изменяется вкус, а агрегатное состояние не изменяется.";"1";"5425107"
"скисание молока в теплой комнате, так как появляется цвет и запах.";"1";"5425108"
"Скисание молока, т.к. скисание относится к химическим явлениям.";"1";"5425109"
"Появление радуги после дождя так как она происходит благодаря дождю и не относится к биологическим явлениям.Другие не относятся к химическим.";"0";"5425110"
"Это скисание молока в теплой комнате, т.к будет выделяться запах, что относится к химическим явлениям.";"1";"5425111"
"Скисание молока,так как происходит химическая реакция.";"1";"5425112"
"скисание молока в тёплой комнате";"1";"5425113"
"Скисание молока в теплой комнате ";"1";"5425114"
"скисание молока в теплой комнате
при повышении температуры химические вещества молока начинают скисать";"1";"5425115"
"Химическим явлением является скисание молока в тёплой комнате, потому что происходит химическая реакция - окисление веществ.";"2";"5425116"
"Скисание молока в тёплой комнате, потому что происходит закисание вещества.";"2";"5425117"
"Химическим явлением является скисание молока в тёплой комнате, потому что здесь происходит окисление продукта";"2";"5425118"
"Скисание молока в тёплой комнате, т. к. во время этого процесса образуются новые вещества.";"2";"5425119"
"Химической реакцией называют процесс изменения строения вещества. При движении автомобиля он не изменяет своего строения, раскалённый металл не изменяет строения, так как он по прежнему твёрдый металл, радуга после дождя образуется приломлением света, что не является химическим процессом. При скисании молока обычное молоко изменяет своё строение, делясь на разные компоненты, значит это и есть химический процесс.
Ответ. Скисание молока в тёплой комнате ";"1";"5425120"
"При химической реакции изменяется состав вещества, а при физической только агрегатное состояние. Также физическим явлением является работа, оптические и электрические явления. В случае автомобиля производится механическая работа, излучение света и радуга - оптические явления, а вот во время скисания молока изменяется его состав.
Ответ: скисание молока.";"1";"5425121"
"Скисание молока в тёплой комнате является химическим явлением. При этом процессе образуется новое вещество. ";"2";"5425122"
"Скисание молока в тёплой комнате. Все остальные явления - физические.";"1";"5425123"
"Движение автомобиля по закруглённой дороге и появление радуги после дождя нельзя назвать химическими процессами, так как в них не изменяется клеточное строение вещества. Излучение света металлом называется физическим процессом, при котором тело меняет своё агрегатное состояние и вследствие высокой температуры начинает излучать. А вот скисание молока - как раз химический процесс, при котором молоко расслаивается, то есть меняется его структура.";"1";"5425124"
"Скисание молока в тёплой комнате, так как меняется строение вещества, а не агрегатное состояние.";"1";"5425125"
"излучение света раскалённым металлом является химическим потому что движение, скисание молока, появление радуги после дождя это всё физические явление.";"0";"5425126"
"--- нет ответа ---";"-1";"5425127"
"Скисание молока в тёплой комнате.";"1";"5425128"
"скисание молока в теплой комнате.
так  как температура для молока должна быть 0.
а в комнате + температура воздуха , по этому там начали происходить химические процессы";"1";"5425129"
"Появление радуги после дождя, соединяются определенные явления ";"0";"5425130"
"cкисание молока,излучение света. Скисание молока это химический элемент так как молоко должно храниться в положительной ей температуре,а излучение света это когда металл нагревают специальным предметом до того времени пока сам металл не сплавится";"0";"5425131"
"скисание молока в теплой комнате,так как при этом явление молоко меняет запах,что является одним из признаков химического явления.";"1";"5425132"
"Скисание молока в теплой комнате потому что выделяется запах и меняется вкус молока ";"1";"5425133"
"Скисание молока в тёплой комнате. Является химическим явлением ";"1";"5425134"
"Скисание молока,потому что появляется осадок,запах,оно меняет цвет";"1";"5425135"
"скисание молока в теплой комнате,выделяется запах и меняется вкус и цвет при скисание.";"1";"5425136"
"Скисание молока в тёплой комнате, так как меняется цвет и запах молока";"1";"5425137"
"скисание молока в теплой комнате, так как молок поменяла свой цвет, запах, состояние ";"1";"5425138"
"Скисание молока в теплой комнате ";"1";"5425139"
"Скисание молока в теплой комнате";"1";"5425140"
"скисание молока в тёплой комнате происходит разложение элементов поэтому я считаю ";"1";"5425141"
"Скисание молока в теплой комнате - химическое явление. Так как при этом процессе меняются свойства молока: вкус, запах, цвет.";"1";"5425142"
"Скисание  молока в тёплой комнате - химический процесс, так как происходит разложение химических веществ. Появление радуги является физическим процессом, так как это явление связано с отражением капель воды на солнце и при этом состав веществ не меняется.";"1";"5425143"
"скисание молока в теплой комнате, так как происходит химическая реакция";"1";"5425144"
"Химическим явлением,среди перечисленных, является скисание молока в теплой комнате. Т.к. химическое явление- это явление, при котором меняется состав вещества, а среди выше приведенных только в этом примере он изменяется.  ";"2";"5425145"
"Химическим явлением является скисание молока в теплой комнате так как во время этого процесса меняется состав вещества, а физическое явление происходит только тогда когда состав вещества не изменяется, а меняется только его состояние";"2";"5425146"
"Скисание молока, так как поменялся состав вещества, молоко превращается в кефир, а из кефира молоко обратно не сделаешь. В остальных случаях состав вещества или тела не меняется.";"1";"5425147"
"Химическим явлением является ""Скисание молока в тёмной комнате"", так как происходит химический процесс скисания.";"1";"5425148"
"Скисание молока в теплой комнате. там происходит химическая реакция, окисление.";"2";"5425149"
"1 СКИСАНИЕ МОЛОКА В ТЕПЛОЙ КОМНАТЕ: ХИМИЧЕСКОЕ ЯВЛЕНИЕ. ";"1";"5425150"
"Скисание молока в тёплой комнате это химическое свойство по причине изменения химических элементов ";"1";"5425151"
"Скисание молока в теплой комнате. Так как, когда молоко находится в теплом помещении происходит реакция скисания, что является в химическом явление. А все остальные варианты это физическое явление.";"1";"5425152"
"Окисление молока в теплой комнате считается химическим явлением.";"1";"5425153"
"Скисание молока, потому что состояние вещества меняется, происходит химическая реакция.";"1";"5425154"
"скисание молока в тёплой комнате так как там взаимодействуют химические элементы ";"1";"5425155"
"Скисание молока в теплой комнате является химическим явлением, так как происходить реакция брожения и окисления. У молока изменяется вкус, цвет и запах";"2";"5425156"
"Скисание молока в тёплой комнате является химическим явлением.Так как лактобактерии взаимодействуют друг с другом и происходит процесс скисания.";"2";"5425157"
"Скисание молока в тёплой комнате. потому что, при скисание молока выделяется, а когда выделяется запах, то это значит, что химическое явление. ";"1";"5425158"
"Скисание молока в теплой комнате является химическим явлением.У нее появляется запах,меняется структура тела.";"1";"5425159"
"скисание молока является химическим, т.к при скисании молока меняет свой цвет и запах, так еще и вкус";"1";"5425160"
"Скисание молока в тёплой комнате";"1";"5425161"
"скисание молока так как окисление происходит только в химических веществах";"2";"5425162"
"Скисания молока в теплой комнате-это химическое явление. Потому как происходит процесс брожения при котором молоко скисает.";"1";"5425163"
"Химическим явлением является скисание молока в тёплой комнате, ибо из-за температуры изменяется агрегатное состояние продукта(химическое)";"1";"5425164"
"Скисание молока в тёплой комнате - химическое явление,так как молока вступает в реакцию с теплом в результате чего оно меняет свои свойства";"1";"5425165"
"скисание молока в теплой комнате 
потому что преобразование из жидкого состояния в твердое";"1";"5425166"
"скисание молока в теплой комнате. Так как в процессе этого явления появляется новое вещество";"2";"5425167"
"химическим явлением является скисание молока в теплой воде";"1";"5425168"
"Скисание молока в теплой комнате, так как происходит химическая реакция, и молоко скисает";"1";"5425169"
"скисание молока в теплой комнате.";"1";"5425170"
"скисание молока 
так как происходит реакция ";"1";"5425171"
"Скисание молока в теплой комнате.Здесь представлен процесс окисления,т.е химический процесс.";"2";"5425172"
"Скисание молока в теплой комнате";"1";"5425173"
"Скисание молока в теплой комнате, так как вовремя этого появляется другое вещество.";"2";"5425174"
"1. химическим явлением является скисание молока в теплой комнате.
2. при скисание молока образуется новое вещество ( кефир или ряженка), то есть вещество меняет свою молекулярною решетку ";"1";"5425175"
"1.окисление молока в тёплой комнате
2. потому что в молоке появляются новые вещества  ";"2";"5425176"
"Скисание молока в тёплой комнате. Потому что при этом явлении меняется вещество и агрегатное состояние, а в других вещество и агрегатное состояние остаются теми же.";"1";"5425177"
"1. скисание молока в теплой комнате. 
2. это является химическим явлением потому что молекулы разрываются и меняется агрегатное состояние вещества. ";"1";"5425178"
"скисание молока в теплой комнате ,потому что из одного вещества получилось другое ";"2";"5425179"
"Скисание молока в теплой комнате так как есть признаки химических явлений: выделяется запах , тепло и поменялся цвет ";"2";"5425180"
"Скисание молока в теплой комнате";"1";"5425181"
"Скисание молока .Молоко неубранное в холодильник скисает,изменяя свои свойства.";"1";"5425182"
"скисание молока. Молоко становится другим веществом это химическое явление.";"2";"5425183"
"скисание молока в теплой комнате, тк получилось новое вещество";"2";"5425184"
"Скисание молока в теплой комнате является химическим явлением,так как в молоке произошел процесс окисления, а в остальных случаях не было выявлено никаких явлений";"2";"5425185"
"Скисание молока в теплой комнате является химическим явлением, так как появляется новое вещество и при этом выделяется запах. Запах и образование нового вещество- признаки химического процесса.";"2";"5425186"
"скисание молока,тк появляется новое вещество";"2";"5425187"
"скисание молока так как в результате скисания молока появляется новое вещество ";"2";"5425188"
"Скисание молока в теплой комнате, так как при скисании молока происходит химическая реакция";"1";"5425189"
"излучения света расскалённым металом";"0";"5425190"
"скисание молока т.к. молоко меняет свой химический состав при определнном условии, в данном случае под влиянием температуры";"2";"5425191"
"Скисание молока в тёплой комнате. Потому что это химический процесс.";"1";"5425192"
"Скисание молок в тёплой комнате - химическое явление, т.к. молоко изменяет свой состав.";"1";"5425193"
"Скисание молока так как там происходят химические реакции";"1";"5425194"
"Скисание молока в тёплой комнате является химическим, потому что меняется состав вещества.";"2";"5425195"
"Излучение света раскаленным металлом. В воздухе присутствует кислород, и при нагревании металла капли расплавившегося металла начинают загораться и излучать свет.";"0";"5425196"
"Скисание молока в теплой комнате, потому что в процесс окисления относится к химическим явлениям ";"2";"5425197"
"скисание молока , т.к. из-за высокой температуры в помещении оно перестаёт быть жидким и меняет свою форму";"1";"5425198"
"Скисание молока в теплой комнате. Потому что, в нем происходит химический процесс а именно скисание.";"2";"5425199"
"Скисание молока в тёплой комнате, так как происходит преобразование молока.";"1";"5425200"
"Скисание молока в теплой комнате является химический явлением,так как остальные 3 картинки это физические явления. В молоке начинают развиваться бактерии благодаря, которым молоко скисает.";"1";"5425201"
"--- нет ответа ---";"-1";"5425202"
"появление радуги после дождя 
Излучение света раскаленным металлом ";"0";"5425203"
"Окисление молока в тёплой комнате является химическим явлением, т.к. во всех остальных случаях происходят физические явления.
Движение автомобиля - превращение одного вида энергии в другой.
Излучение света раскалённым металлом - изменение температуры.
Появление радуги - отражение света от воды.";"1";"5425204"
"скисание молока в тёплой комнате является химическим явлением. Потому что молоко входит в химическую реакцию с тёплым воздухом, поэтому молоко приобретает кислый вкус.";"1";"5425205"
"Скисание молока в тёплой комнате. Так как комната тёплая, то молоко начинает скисать.";"1";"5425206"
"скисание молока в тёплой комнате. при изменении температуры, молоко меняет своё строение. оно начинает киснуть при комнатной температуре, но в охлаждённом помещении не теряет свои свойства.";"1";"5425207"
"Появление радуги после дождя т.к. идёт превращение. ";"0";"5425208"
"Скисание молока в тёплой комнате, т.к одно вещество превращается в другое .";"2";"5425209"
"z yt pyf ^^";"0";"5425210"
"Скисание молока ,является химическим процессом,так как во время скисания молока происходят различные химический процессы ,влияющие на это .";"1";"5425211"
"излучение света раскаленным металлом является химическим явлением так как выделение света это химическое явление.";"0";"5425212"
"Излучение света раскаленным металлом является химическим потому что он излучает свет. ";"0";"5425213"
"Скисание молока в тёплой комнате.Меняется запах,цвет.";"1";"5425214"
"Химическим явлением является скисание молока в тёплой комнате ";"1";"5425215"
"Cкисание молока в теплой комнате является химическим явлением,так как при этом явлении образуется новое вещество и заметный определённые признаки: изменение цвета и запаха.";"2";"5425216"
"Скисание молока в теплой комнате , так как происходит процесс окисления молока в банке.Химия это процессы ";"2";"5425217"
"из представленных явлений химическим является скисание молока в тёплой комнате.";"1";"5425218"
"скисание молока в тёплой комнате,потому что бактерии при повышении температуры начинают умирать тем самым молок начинает портиться,скисать. ";"1";"5425219"
"Скисание молока, так как появляется запах.";"1";"5425220"
"химическим явлением является излучение света раскаленным металлом т.к. действие сопровождается  светом, а остальные явления-физические и происходит либо механическое движение, либо изменение агрегатного состояния.";"0";"5425221"
"Я считаю, что Скисание молока в теплой комнате является химическим  явлением. Молоко меняет вкус, запах и др. под воздействием температуры.";"1";"5425222"
"Скисание молока в теплой комнате, т.к. это процесс появления нового вещества, а не изменение его агрегатного состояния или движение тела.";"2";"5425223"
"Скисание молока в тёплой комнате. Химический состав молока изменяется, поэтому это химическое явление.";"1";"5425224"
"Скисание - химический процесс, так как в нем происходят химическая реакция.";"1";"5425225"
"Скисание молока в тёплой комнате, так как остальные процессы являются физическими, то этот процесс химический";"1";"5425226"
